standard_cost,avg_unit_price,list_price,rolling_avg_sales_3m,current_month_gross_sales,month_num,current_month_net_sales,product_key,customer_key,current_month_margin_amount,month_cos,year_num,store_id,current_month_order_qty,previous_month_sales,size,sales_growth_previous_period,territory_id,bonus,month_sin
101.8936,137.694,229.49,550.776,963.858,10,963.858,86,18,250.6028,0.5000000000000001,2006,852,7.0,550.776,,0.75,6,5150.0,-0.8660254037844386
101.8936,137.694,229.49,1101.552,1101.552,9,1101.552,86,147,286.4032,-1.8369701987210297e-16,2006,828,8.0,0.0,,,6,5150.0,-1.0
38.4923,28.8404,49.99,294.46981,173.0424,1,173.0424,8,230,-57.9114,0.8660254037844387,2007,954,6.0,288.404,L,-0.4,3,2000.0,0.49999999999999994
294.5797,323.994,539.99,647.988,647.988,1,647.988,243,215,58.8286,0.8660254037844387,2008,570,2.0,647.988,52,0.0,4,3550.0,0.49999999999999994
13.0863,20.1865,34.99,100.9325,60.5595,12,60.5595,1,165,21.3006,1.0,2005,1322,3.0,100.9325,,-0.4,6,5000.0,-2.4492935982947064e-16
47.286,63.9,106.5,127.8,127.8,9,127.8,198,581,33.228,-1.8369701987210297e-16,2007,1038,2.0,0.0,,,9,5650.0,-1.0
739.041,736.1455,1349.6,1472.291,1472.291,7,1472.291,20,215,-5.791,-0.8660254037844388,2006,570,2.0,0.0,42,,4,3550.0,-0.4999999999999997
1251.9813,1229.4589,2294.99,3688.3767,3688.3767,9,3688.3767,65,343,-67.5672,-1.8369701987210297e-16,2006,516,3.0,0.0,38,,3,3550.0,-1.0
343.6496,313.1942,539.99,3990.094108,4071.5246,7,3990.094108,248,223,-477.3507,-0.8660254037844388,2007,768,13.0,0.0,52,,6,5150.0,-0.4999999999999997
0.8565,1.374,2.29,1.374,1.374,9,1.374,139,166,0.5175,-1.8369701987210297e-16,2007,1356,1.0,0.0,,,2,2500.0,-1.0
13.0863,20.2942,34.99,100.9325,243.5304,9,238.659792,1,147,81.6242,-1.8369701987210297e-16,2007,828,12.0,80.746,,1.9556856314863895,6,0.0,-1.0
343.6496,323.994,539.99,971.982,647.988,11,647.988,248,113,-39.3112,0.8660254037844384,2007,1992,2.0,971.982,52,-0.33333333333333326,4,4100.0,-0.5000000000000004
1912.1544,2039.994,3399.99,3059.991,8159.976,2,8159.976,41,47,511.3584,0.5000000000000001,2006,372,4.0,4079.988,44,1.0,4,2500.0,0.8660254037844386
1554.9479,1466.01,2443.35,1745.25,7330.05,7,7330.05,77,34,-444.6895,-0.8660254037844388,2007,1414,5.0,1308.9375,48,4.6000000000000005,4,3550.0,-0.4999999999999997
38.4923,29.994,49.99,149.97,149.97,7,149.97,8,455,-42.4915,-0.8660254037844388,2007,1152,5.0,0.0,L,,10,5000.0,-0.4999999999999997
461.4448,334.0575,742.35,1419.744375,1670.2875,9,1419.744375,210,596,-887.4796,-1.8369701987210297e-16,2007,1284,5.0,0.0,62,,10,5000.0,-1.0
8.9866,12.144,20.24,24.288,12.144,3,12.144,202,165,3.1574,6.123233995736766e-17,2008,1322,1.0,24.288,,-0.5,6,5150.0,1.0
13.0863,20.1865,34.99,50.46625,100.9325,1,100.9325,2,34,35.501,0.8660254037844387,2006,1414,5.0,40.373,,1.5000000000000002,4,3550.0,0.49999999999999994
868.6342,780.8182,1431.5,780.8182,780.8182,9,780.8182,114,145,-87.816,-1.8369701987210297e-16,2006,814,1.0,0.0,44,,5,6700.0,-1.0
343.6496,323.994,539.99,971.982,971.982,8,971.982,227,90,-58.9668,-0.5000000000000004,2007,1182,3.0,0.0,58,,5,6700.0,-0.8660254037844384
77.9176,105.294,175.49,421.176,421.176,9,421.176,199,147,109.5056,-1.8369701987210297e-16,2007,828,4.0,0.0,,,6,0.0,-1.0
