list_price,standard_cost,current_month_gross_sales,rolling_avg_sales_3m,avg_unit_price,previous_month_sales,month_cos,month_num,product_model_name,customer_key,store_id,current_month_margin_amount,current_month_order_qty,current_month_net_sales,year_num,bonus,quarter_num,month_sin,territory_id
229.49,101.8936,963.858,550.776,137.694,550.776,0.5000000000000001,10,HL Fork,18,852,250.6028,7.0,963.858,2006,5150.0,4,-0.8660254037844386,6
229.49,101.8936,1101.552,1101.552,137.694,0.0,-1.8369701987210297e-16,9,HL Fork,147,828,286.4032,8.0,1101.552,2006,5150.0,3,-1.0,6
49.99,38.4923,173.0424,294.46981,28.8404,288.404,0.8660254037844387,1,Long-Sleeve Logo Jersey,230,954,-57.9114,6.0,173.0424,2007,2000.0,1,0.49999999999999994,3
539.99,294.5797,647.988,647.988,323.994,647.988,0.8660254037844387,1,Mountain-500,215,570,58.8286,2.0,647.988,2008,3550.0,1,0.49999999999999994,4
34.99,13.0863,60.5595,100.9325,20.1865,100.9325,1.0,12,Sport-100,165,1322,21.3006,3.0,60.5595,2005,5000.0,4,-2.4492935982947064e-16,6
106.5,47.286,127.8,127.8,63.9,0.0,-1.8369701987210297e-16,9,Front Brakes,581,1038,33.228,2.0,127.8,2007,5650.0,3,-1.0,9
1349.6,739.041,1472.291,1472.291,736.1455,0.0,-0.8660254037844388,7,HL Mountain Frame,215,570,-5.791,2.0,1472.291,2006,3550.0,3,-0.4999999999999997,4
2294.99,1251.9813,3688.3767,3688.3767,1229.4589,0.0,-1.8369701987210297e-16,9,Mountain-200,343,516,-67.5672,3.0,3688.3767,2006,3550.0,3,-1.0,3
539.99,343.6496,4071.5246,3990.094108,313.1942,0.0,-0.8660254037844388,7,Road-750,223,768,-477.3507,13.0,3990.094108,2007,5150.0,3,-0.4999999999999997,6
2.29,0.8565,1.374,1.374,1.374,0.0,-1.8369701987210297e-16,9,Patch kit,166,1356,0.5175,1.0,1.374,2007,2500.0,3,-1.0,2
34.99,13.0863,243.5304,100.9325,20.2942,80.746,-1.8369701987210297e-16,9,Sport-100,147,828,81.6242,12.0,238.659792,2007,0.0,3,-1.0,6
539.99,343.6496,647.988,971.982,323.994,971.982,0.8660254037844384,11,Road-750,113,1992,-39.3112,2.0,647.988,2007,4100.0,4,-0.5000000000000004,4
3399.99,1912.1544,8159.976,3059.991,2039.994,4079.988,0.5000000000000001,2,Mountain-100,47,372,511.3584,4.0,8159.976,2006,2500.0,1,0.8660254037844386,4
2443.35,1554.9479,7330.05,1745.25,1466.01,1308.9375,-0.8660254037844388,7,Road-250,34,1414,-444.6895,5.0,7330.05,2007,3550.0,3,-0.4999999999999997,4
49.99,38.4923,149.97,149.97,29.994,0.0,-0.8660254037844388,7,Long-Sleeve Logo Jersey,455,1152,-42.4915,5.0,149.97,2007,5000.0,3,-0.4999999999999997,10
742.35,461.4448,1670.2875,1419.744375,334.0575,0.0,-1.8369701987210297e-16,9,Touring-3000,596,1284,-887.4796,5.0,1419.744375,2007,5000.0,3,-1.0,10
20.24,8.9866,12.144,24.288,12.144,24.288,6.123233995736766e-17,3,Chain,165,1322,3.1574,1.0,12.144,2008,5150.0,1,1.0,6
34.99,13.0863,100.9325,50.46625,20.1865,40.373,0.8660254037844387,1,Sport-100,34,1414,35.501,5.0,100.9325,2006,3550.0,1,0.49999999999999994,4
1431.5,868.6342,780.8182,780.8182,780.8182,0.0,-1.8369701987210297e-16,9,HL Road Frame,145,814,-87.816,1.0,780.8182,2006,6700.0,3,-1.0,5
539.99,343.6496,971.982,971.982,323.994,0.0,-0.5000000000000004,8,Road-750,90,1182,-58.9668,3.0,971.982,2007,6700.0,3,-0.8660254037844384,5
175.49,77.9176,421.176,421.176,105.294,0.0,-1.8369701987210297e-16,9,LL Crankset,147,828,109.5056,4.0,421.176,2007,0.0,3,-1.0,6
2.29,0.8565,9.618,9.618,1.374,0.0,-0.5000000000000004,8,Patch kit,276,808,3.6225,7.0,9.618,2007,985.0,3,-0.8660254037844384,7
782.99,486.7066,4697.94,2949.6350333333335,469.794,2137.5627,0.5000000000000001,10,Road-650,13,592,-169.126,10.0,4697.94,2006,5150.0,4,-0.8660254037844386,6
782.99,486.7066,1409.382,1409.382,469.794,0.0,-0.5000000000000004,8,Road-650,273,746,-50.7378,3.0,1409.382,2006,4100.0,3,-0.8660254037844384,3
